DTT 60,DTT 30,DTT 0,K 1400,K 710,K 20,Mg 60,Mg 30,Mg 0
0,0,33.33,33.33,0,0,0,0,33.33
0,0,33.33,0,0,33.33,33.33,0,0
0,33.33,0,0,0,33.33,0,0,33.33
33.33,0,0,0,0,33.33,0,0,33.33
33.33,0,0,33.33,0,0,0,0,33.33
0,0,33.33,0,0,33.33,33.33,0,0
33.33,0,0,0,33.33,0,33.33,0,0
0,0,33.33,0,0,33.33,0,0,33.33
33.33,0,0,33.33,0,0,0,0,33.33
0,0,33.33,0,33.33,0,0,0,33.33
0,0,33.33,33.33,0,0,33.33,0,0
33.33,0,0,33.33,0,0,33.33,0,0
0,33.33,0,0,33.33,0,0,33.33,0
0,33.33,0,33.33,0,0,33.33,0,0
33.33,0,0,0,0,33.33,0,33.33,0
33.33,0,0,0,0,33.33,33.33,0,0
0,0,33.33,33.33,0,0,0,33.33,0
0,0,33.33,33.33,0,0,0,0,33.33
0,0,33.33,0,0,33.33,33.33,0,0
0,33.33,0,0,0,33.33,0,0,33.33
33.33,0,0,0,0,33.33,0,0,33.33
33.33,0,0,33.33,0,0,0,0,33.33
0,0,33.33,0,0,33.33,33.33,0,0
33.33,0,0,0,33.33,0,33.33,0,0
0,0,33.33,0,0,33.33,0,0,33.33
33.33,0,0,33.33,0,0,0,0,33.33
0,0,33.33,0,33.33,0,0,0,33.33
0,0,33.33,33.33,0,0,33.33,0,0
33.33,0,0,33.33,0,0,33.33,0,0
0,33.33,0,0,33.33,0,0,33.33,0
0,33.33,0,33.33,0,0,33.33,0,0
33.33,0,0,0,0,33.33,0,33.33,0
33.33,0,0,0,0,33.33,33.33,0,0
0,0,33.33,33.33,0,0,0,33.33,0
0,0,33.33,0,0,33.33,33.33,0,0
33.33,0,0,0,33.33,0,33.33,0,0
0,33.33,0,0,33.33,0,0,33.33,0
0,33.33,0,0,33.33,0,0,33.33,0